Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675698708.1095023,1,57110,57110,GPS1_Frame,42.33713433333334,-71.090362,1.09,18.4,327794.37820303283,4689325.134516005,19,T
1675698709.105973,2,57111,57111,GPS1_Frame,42.337139166666674,-71.09035083333333,1.18,18.7,327795.31135358,4689325.648606141,19,T
1675698710.1107883,3,57112,57112,GPS1_Frame,42.33714433333333,-71.0903375,1.18,18.6,327796.4239129877,4689326.195322632,19,T
1675698711.1098578,4,57113,57113,GPS1_Frame,42.337147,-71.0903305,1.09,18.5,327797.00788149517,4689326.477259417,19,T
1675698712.1117926,5,57114,57114,GPS1_Frame,42.33715050000001,-71.09032416666668,1.09,18.9,327797.53920185636,4689326.853081683,19,T
1675698713.1128483,6,57115,57115,GPS1_Frame,42.33715316666667,-71.0903205,1.09,19.4,327797.84855628584,4689327.141769102,19,T
1675698714.111932,7,57116,57116,GPS1_Frame,42.33715566666667,-71.090317,1.09,19.8,327798.14372505073,4689327.412286997,19,T
1675698715.1117058,8,57117,57117,GPS1_Frame,42.33715733333334,-71.090314,1.09,20.0,327798.39542700537,4689327.591282161,19,T
1675698716.1074128,9,57118,57118,GPS1_Frame,42.3371585,-71.0903125,1.09,20.3,327798.52218785655,4689327.717793874,19,T
1675698717.1129065,10,57119,57119,GPS1_Frame,42.33715933333333,-71.09031083333333,1.09,20.6,327798.66176952235,4689327.806953935,19,T
1675698718.115796,11,57120,57120,GPS1_Frame,42.33715983333333,-71.09030933333334,1.09,20.8,327798.78671061224,4689327.859437398,19,T
1675698719.1160982,12,57121,57121,GPS1_Frame,42.33715983333333,-71.0903085,1.09,21.1,327798.85536409984,4689327.8577497685,19,T
1675698720.1171415,13,57122,57122,GPS1_Frame,42.33716,-71.09030733333334,1.09,21.3,327798.9519339168,4689327.873894154,19,T
1675698721.1201425,14,57123,57123,GPS1_Frame,42.33716,-71.09030633333333,1.09,21.5,327799.03431810334,4689327.871869002,19,T
1675698722.1150687,15,57124,57124,GPS1_Frame,42.337159500000006,-71.09030533333333,1.09,21.6,327799.1153374776,4689327.814322659,19,T
1675698723.1133382,16,57125,57125,GPS1_Frame,42.337159166666666,-71.09030433333334,1.09,21.8,327799.19681178965,4689327.7752833795,19,T
1675698724.1164029,17,57126,57126,GPS1_Frame,42.33715816666666,-71.09030333333334,1.09,21.9,327799.2764663552,4689327.662215842,19,T
1675698725.1170895,18,57127,57127,GPS1_Frame,42.33715733333334,-71.09030283333333,1.09,22.1,327799.31538376876,4689327.568667945,19,T
1675698726.118836,19,57128,57128,GPS1_Frame,42.33715633333333,-71.09030200000001,1.09,22.1,327799.381307643,4689327.455937936,19,T
1675698727.1160018,20,57129,57129,GPS1_Frame,42.33715533333334,-71.09030083333333,1.09,22.2,327799.47469291365,4689327.342532877,19,T
1675698728.1168628,21,57130,57130,GPS1_Frame,42.33715433333334,-71.09030016666667,1.09,22.3,327799.5268860945,4689327.230140394,19,T
1675698729.1170218,22,57131,57131,GPS1_Frame,42.33715316666667,-71.0903,1.09,22.4,327799.5374322461,4689327.100253416,19,T
1675698730.119282,23,57132,57132,GPS1_Frame,42.33715183333334,-71.09029966666667,1.09,22.5,327799.56125415955,4689326.951521853,19,T
1675698731.1205754,24,57133,57133,GPS1_Frame,42.33715,-71.09029933333333,1.09,22.6,327799.58371126815,4689326.747269096,19,T
1675698732.1211479,25,57134,57134,GPS1_Frame,42.33714816666667,-71.09029933333333,1.09,22.6,327799.57870697917,4689326.543691385,19,T
1675698733.123302,26,57135,57135,GPS1_Frame,42.33714633333334,-71.0902995,1.09,22.6,327799.5599719905,4689326.3404512,19,T
1675698734.114678,27,57136,57136,GPS1_Frame,42.33714499999999,-71.09029966666667,1.09,22.7,327799.54260180716,4689326.192732208,19,T
1675698735.116658,28,57137,57137,GPS1_Frame,42.33714383333333,-71.09029966666667,1.09,22.7,327799.5394172595,4689326.063182756,19,T
1675698736.1210198,29,57138,57138,GPS1_Frame,42.33714233333333,-71.09029983333333,1.09,22.8,327799.5215921402,4689325.896956701,19,T
1675698737.119065,30,57139,57139,GPS1_Frame,42.33714116666667,-71.0903,1.09,22.9,327799.50467689126,4689325.767744773,19,T
1675698738.1190395,31,57140,57140,GPS1_Frame,42.33713983333334,-71.09030033333333,1.09,23.0,327799.47357600287,4689325.620363307,19,T
1675698739.1240008,32,57141,57141,GPS1_Frame,42.33713866666667,-71.0903005,1.09,23.1,327799.45666075277,4689325.49115138,19,T
1675698740.1218364,33,57142,57142,GPS1_Frame,42.33713766666666,-71.09030083333333,1.09,23.2,327799.4264697337,4689325.380784039,19,T
1675698741.122613,34,57143,57143,GPS1_Frame,42.3371365,-71.090301,1.09,23.3,327799.40955448255,4689325.251572114,19,T
1675698742.125063,35,57144,57144,GPS1_Frame,42.337136166666674,-71.090301,1.09,23.3,327799.4086446113,4689325.214557986,19,T
1675698743.1220202,36,57145,57145,GPS1_Frame,42.3371365,-71.09030083333333,1.09,23.4,327799.42328518466,4689325.25123459,19,T
1675698744.1232262,37,57146,57146,GPS1_Frame,42.337137500000004,-71.09030016666667,1.09,23.4,327799.4809376081,4689325.36092688,19,T
1675698745.1203182,38,57147,57147,GPS1_Frame,42.33713966666666,-71.09029966666667,1.09,23.4,327799.52804387535,4689325.600506144,19,T
1675698746.1225362,39,57148,57148,GPS1_Frame,42.33714216666667,-71.09029933333333,1.09,23.4,327799.56232930766,4689325.877437064,19,T
1675698747.1255357,40,57149,57149,GPS1_Frame,42.33714433333333,-71.09029933333333,1.09,23.4,327799.56824346655,4689326.1180289015,19,T
1675698748.1220894,41,57150,57150,GPS1_Frame,42.33714683333333,-71.090299,1.09,23.3,327799.6025288963,4689326.39495982,19,T
1675698749.1240296,42,57151,57151,GPS1_Frame,42.337149333333336,-71.09029883333332,1.09,23.2,327799.6230836249,4689326.672228265,19,T
1675698750.1207561,43,57152,57152,GPS1_Frame,42.33715183333334,-71.09029866666667,1.09,23.1,327799.6436383525,4689326.949496708,19,T
1675698751.125627,44,57153,57153,GPS1_Frame,42.337154666666656,-71.09029833333334,1.09,22.8,327799.67883364815,4689327.2634417545,19,T
1675698752.1250236,45,57154,57154,GPS1_Frame,42.33715733333334,-71.09029833333334,1.09,22.5,327799.6861126114,4689327.559554788,19,T
1675698753.1222658,46,57155,57155,GPS1_Frame,42.33716016666667,-71.0902985,1.09,22.3,327799.68011581316,4689327.87451241,19,T
1675698754.1230366,47,57156,57156,GPS1_Frame,42.33716283333333,-71.09029866666667,1.09,22.0,327799.6736640812,4689328.170962965,19,T
